freq,c_resid,nace_r2,month,unit,geo\TIME_PERIOD,2020,2021,2022,2023,2024
A,DOM,I551-I553,M06,NR,ITI4,362121.0,1048289.0,1594218.0,1514493.0,1541631.0
A,DOM,I551-I553,M07,NR,ITC1,651467.0,758115.0,806763.0,851369.0,795431.0
A,DOM,I551-I553,M07,NR,ITC2,277336.0,339298.0,415890.0,434714.0,362200.0
A,DOM,I551-I553,M07,NR,ITC3,1300013.0,1604041.0,1473936.0,1422552.0,1395672.0
A,DOM,I551-I553,M07,NR,ITC4,1113429.0,1624330.0,1720860.0,1656551.0,1617619.0
A,DOM,I551-I553,M07,NR,ITF1,925139.0,1279657.0,1266396.0,1327725.0,1340877.0
A,DOM,I551-I553,M07,NR,ITF2,75264.0,110093.0,73585.0,92363.0,85866.0
A,DOM,I551-I553,M07,NR,ITF3,1219996.0,1622455.0,1526599.0,1587971.0,1408223.0
A,DOM,I551-I553,M07,NR,ITF4,2174480.0,3021975.0,2899057.0,2886581.0,2815328.0
A,DOM,I551-I553,M07,NR,ITF5,297122.0,403012.0,435705.0,446820.0,451054.0
A,DOM,I551-I553,M07,NR,ITF6,1073960.0,1463154.0,1766326.0,1775812.0,1820466.0
A,DOM,I551-I553,M07,NR,ITG1,967489.0,1507976.0,1535546.0,1423941.0,1438421.0
A,DOM,I551-I553,M07,NR,ITG2,1130312.0,1834846.0,1992397.0,1761655.0,1776000.0
A,DOM,I551-I553,M07,NR,ITH1,1789464.0,2137330.0,1938908.0,1843755.0,1774027.0
A,DOM,I551-I553,M07,NR,ITH2,1526710.0,2062336.0,2141497.0,2065160.0,2018619.0
A,DOM,I551-I553,M07,NR,ITH3,3443251.0,4446067.0,3601047.0,3473179.0,3296026.0
A,DOM,I551-I553,M07,NR,ITH4,575332.0,774405.0,737332.0,689188.0,642764.0
A,DOM,I551-I553,M07,NR,ITH5,4442457.0,6009443.0,5981172.0,5644129.0,5631945.0
A,DOM,I551-I553,M07,NR,ITI1,3518201.0,4253307.0,3796673.0,3720214.0,3466774.0
A,DOM,I551-I553,M07,NR,ITI2,382495.0,507083.0,467751.0,470233.0,473429.0
A,DOM,I551-I553,M07,NR,ITI3,1677205.0,2161684.0,2080984.0,1960265.0,1868903.0
A,DOM,I551-I553,M07,NR,ITI4,823314.0,1313659.0,1573601.0,1741665.0,1746447.0
A,DOM,I551-I553,M08,NR,ITC1,833928.0,983257.0,848024.0,813635.0,831606.0
A,DOM,I551-I553,M08,NR,ITC2,519518.0,560172.0,537482.0,545240.0,528257.0
A,DOM,I551-I553,M08,NR,ITC3,2014731.0,2050279.0,1887461.0,1770029.0,1820356.0
A,DOM,I551-I553,M08,NR,ITC4,1620480.0,1911941.0,1797787.0,1612999.0,1724251.0
A,DOM,I551-I553,M08,NR,ITF1,1555333.0,1738221.0,1601235.0,1647636.0,1709797.0
A,DOM,I551-I553,M08,NR,ITF2,128394.0,135916.0,100415.0,132173.0,127001.0
A,DOM,I551-I553,M08,NR,ITF3,2146162.0,2339990.0,2039087.0,1988830.0,1788726.0
A,DOM,I551-I553,M08,NR,ITF4,3734419.0,4270931.0,3872738.0,3746161.0,3808176.0
A,DOM,I551-I553,M08,NR,ITF5,517867.0,578395.0,556314.0,580637.0,557177.0
A,DOM,I551-I553,M08,NR,ITF6,2050841.0,2198755.0,2420819.0,2820429.0,2329691.0
A,DOM,I551-I553,M08,NR,ITG1,1886585.0,2157532.0,2062254.0,1925931.0,1976920.0
A,DOM,I551-I553,M08,NR,ITG2,2171603.0,2600939.0,2615729.0,2251987.0,2340212.0
A,DOM,I551-I553,M08,NR,ITH1,3544822.0,3510309.0,3217055.0,2949268.0,2982633.0
A,DOM,I551-I553,M08,NR,ITH2,2710593.0,2906349.0,2723820.0,2533146.0,2637380.0
