freq,unit,sex,age,icd10,geo\TIME_PERIOD,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A,RT,F,TOTAL,ACC_OTH,ITC2,7.68,13.81,15.23,9.12,16.8,12.3,6.18,18.65,6.25,12.57,11.08,6.36,7.98
A,RT,F,TOTAL,ACC_OTH,ITC3,24.94,23.13,24.09,23.17,26.12,24.72,27.82,23.32,26.23,29.54,30.01,32.59,26.26
A,RT,F,TOTAL,ACC_OTH,ITC4,14.03,14.27,14.21,14.27,16.23,14.95,15.92,16.94,17.21,19.86,19.14,21.01,20.27
A,RT,F,TOTAL,ACC_OTH,ITF1,29.21,29.09,27.93,28.05,31.21,32.95,32.53,30.76,31.93,32.79,32.89,36.72,33.14
A,RT,F,TOTAL,ACC_OTH,ITF2,31.02,36.75,29.24,26.79,28.84,34.75,28.67,32.23,31.31,29.8,46.38,47.42,43.0
A,RT,F,TOTAL,ACC_OTH,ITF3,17.73,19.72,18.52,19.56,21.77,20.83,24.17,22.44,22.32,21.78,24.82,26.9,25.9
A,RT,F,TOTAL,ACC_OTH,ITF4,19.87,19.4,20.31,19.28,20.51,20.82,20.91,19.6,21.47,22.07,24.6,24.4,24.62
A,RT,F,TOTAL,ACC_OTH,ITF5,24.64,25.8,25.8,22.06,30.36,36.4,27.66,27.97,35.04,33.32,28.27,35.46,35.05
A,RT,F,TOTAL,ACC_OTH,ITF6,22.27,22.2,22.79,24.68,24.57,26.07,27.5,27.19,27.62,28.35,29.59,31.33,29.05
A,RT,F,TOTAL,ACC_OTH,ITG1,21.26,19.25,20.44,20.29,23.11,20.37,25.14,22.46,23.96,24.64,24.56,27.4,25.17
A,RT,F,TOTAL,ACC_OTH,ITG2,16.68,19.81,20.74,19.44,20.79,19.09,21.43,18.64,23.22,24.02,31.34,31.0,27.32
A,RT,F,TOTAL,ACC_OTH,ITH1,2.72,2.33,0.77,1.91,1.14,4.91,3.01,4.11,4.47,7.06,7.44,6.69,8.14
A,RT,F,TOTAL,ACC_OTH,ITH2,1.48,0.37,9.53,10.56,13.1,14.18,19.99,15.94,19.48,17.36,13.82,16.0,14.88
A,RT,F,TOTAL,ACC_OTH,ITH3,11.21,12.45,12.45,13.35,13.44,12.88,14.81,14.47,16.82,15.82,16.7,19.34,17.04
A,RT,F,TOTAL,ACC_OTH,ITH4,16.73,13.62,15.16,14.67,14.73,18.12,15.47,14.59,12.41,21.05,17.11,18.8,16.2
A,RT,F,TOTAL,ACC_OTH,ITH5,16.07,14.42,16.55,16.56,16.56,17.23,18.55,17.47,16.77,19.11,19.27,19.65,16.89
A,RT,F,TOTAL,ACC_OTH,ITI1,19.6,18.18,16.65,15.15,18.66,20.81,21.17,23.19,20.2,21.25,22.79,22.22,22.36
A,RT,F,TOTAL,ACC_OTH,ITI2,14.68,19.11,15.3,16.73,19.8,22.48,27.14,21.07,25.7,25.17,23.34,25.74,23.36
A,RT,F,TOTAL,ACC_OTH,ITI3,20.5,21.97,21.89,18.24,21.05,24.17,26.95,26.25,23.62,24.59,26.14,28.53,20.58
A,RT,F,TOTAL,ACC_OTH,ITI4,23.87,23.01,21.11,22.0,23.01,30.78,26.66,27.38,26.97,28.59,27.31,30.19,26.71
A,RT,F,TOTAL,A_B,ITC1,27.96,31.07,30.92,29.91,33.89,27.52,28.39,29.75,30.84,28.11,27.91,38.16,38.5
A,RT,F,TOTAL,A_B,ITC2,18.42,18.42,7.62,15.2,24.44,15.37,15.45,24.87,21.86,25.14,25.33,28.63,22.34
A,RT,F,TOTAL,A_B,ITC3,26.01,28.7,29.75,28.21,42.2,34.22,41.29,44.15,44.92,39.39,43.36,54.96,48.17
A,RT,F,TOTAL,A_B,ITC4,21.03,22.64,22.99,24.66,29.33,23.36,25.34,23.11,24.57,25.27,24.48,28.27,28.46
A,RT,F,TOTAL,A_B,ITF1,12.56,16.77,16.32,17.24,22.86,15.74,24.99,19.56,26.36,19.73,27.69,32.11,34.37
A,RT,F,TOTAL,A_B,ITF2,8.07,11.21,10.58,13.7,13.79,17.69,14.02,18.69,26.09,25.83,26.88,29.81,35.49
A,RT,F,TOTAL,A_B,ITF3,11.96,12.79,12.85,12.9,15.55,13.1,14.88,12.38,15.06,13.49,16.49,18.9,22.02
