flu_season,year_week,region,number_healthcare_workers,number_cases,population,incidence,cases_0-4,inc_0-4,cases_5-14,inc_5-14,cases_15-64,inc_15-64,cases_65+,inc_65+
2016-2017,2017-07,Liguria,34.0,127.0,43769.0,2.9,12.0,8.2,5.0,1.73,98.0,11.2,12.0,0.92
2016-2017,2017-07,Emilia-Romagna,52.0,244.0,66498.0,3.67,63.0,12.22,52.0,3.68,117.0,3.53,12.0,0.85
2016-2017,2017-07,Tuscany,45.0,137.0,59140.0,2.32,22.0,8.89,26.0,4.55,79.0,6.92,10.0,0.65
2016-2017,2017-07,Umbria,9.0,33.0,10670.0,3.09,15.0,9.07,11.0,3.71,6.0,4.9,1.0,0.56
2016-2017,2017-07,Marche,11.0,64.0,12647.0,5.06,21.0,9.65,22.0,4.96,17.0,3.79,4.0,2.58
2016-2017,2017-07,Lazio,96.0,471.0,124757.0,3.78,79.0,15.55,102.0,7.92,259.0,3.28,31.0,1.11
2016-2017,2017-07,Abruzzo,37.0,70.0,39640.0,1.77,15.0,5.24,14.0,2.08,33.0,3.96,8.0,1.0
2016-2017,2017-07,Molise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-2017,2017-07,Campania,37.0,240.0,45880.0,5.23,57.0,12.71,95.0,10.3,80.0,3.09,8.0,1.27
2016-2017,2017-07,Apulia,101.0,152.0,134676.0,1.13,22.0,3.68,33.0,2.34,76.0,2.65,21.0,0.74
2016-2017,2017-07,Basilicata,7.0,35.0,8575.0,4.08,8.0,10.65,15.0,6.01,11.0,2.62,1.0,0.88
2016-2017,2017-07,Calabria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-2017,2017-07,Sicily,57.0,266.0,73673.0,3.61,16.0,10.21,30.0,7.08,169.0,10.59,51.0,2.71
2016-2017,2017-07,Sardinia,14.0,69.0,15777.0,4.37,20.0,9.07,14.0,4.24,31.0,4.58,4.0,1.14
2016-2017,2017-08,Piedmont,31.0,153.0,41523.0,3.68,27.0,13.41,35.0,6.72,72.0,2.97,19.0,1.89
2016-2017,2017-08,Aosta Valley,3.0,16.0,3947.0,4.05,7.0,16.91,6.0,8.16,3.0,1.56,0.0,0.0
2016-2017,2017-08,Lombardy,136.0,391.0,200962.0,1.95,52.0,3.84,86.0,2.95,212.0,5.36,41.0,0.89
2016-2017,2017-08,AP Bolzano,6.0,14.0,10406.0,1.35,8.0,24.02,2.0,1.6,4.0,0.62,0.0,0.0
2016-2017,2017-08,AP Trento,10.0,76.0,12368.0,6.14,13.0,9.7,18.0,6.52,38.0,6.52,7.0,2.86
2016-2017,2017-08,Veneto,88.0,340.0,116983.0,2.91,36.0,5.41,52.0,3.44,213.0,3.13,39.0,1.43
2016-2017,2017-08,Friuli-Venezia Giulia,16.0,58.0,20348.0,2.85,6.0,3.52,9.0,2.19,33.0,8.83,10.0,2.27
2016-2017,2017-08,Liguria,39.0,110.0,49439.0,2.22,9.0,4.62,11.0,3.1,73.0,7.03,17.0,1.16
2016-2017,2017-08,Emilia-Romagna,47.0,222.0,61404.0,3.62,40.0,10.26,40.0,3.66,118.0,3.61,24.0,1.73
2016-2017,2017-08,Tuscany,46.0,115.0,61579.0,1.87,14.0,6.31,20.0,4.0,70.0,6.34,11.0,0.67
2016-2017,2017-08,Umbria,11.0,35.0,12982.0,2.7,13.0,7.86,11.0,3.66,10.0,4.73,1.0,0.4
2016-2017,2017-08,Marche,8.0,38.0,9813.0,3.87,6.0,9.01,5.0,3.09,21.0,3.68,6.0,3.3
2016-2017,2017-08,Lazio,92.0,288.0,119444.0,2.41,47.0,9.66,58.0,4.74,165.0,2.18,18.0,0.68
2016-2017,2017-08,Abruzzo,41.0,85.0,45443.0,1.87,6.0,2.09,15.0,2.19,53.0,5.91,11.0,1.15
2016-2017,2017-08,Molise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-2017,2017-08,Campania,41.0,151.0,48251.0,3.13,38.0,6.53,51.0,4.55,52.0,2.13,10.0,1.47
2016-2017,2017-08,Apulia,98.0,168.0,128643.0,1.31,31.0,4.88,32.0,2.34,89.0,3.12,16.0,0.61
2016-2017,2017-08,Basilicata,4.0,16.0,4915.0,3.26,3.0,7.28,5.0,3.01,7.0,2.96,1.0,2.08
2016-2017,2017-08,Calabria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-2017,2017-08,Sicily,55.0,248.0,69443.0,3.57,17.0,11.27,32.0,7.31,161.0,10.26,38.0,2.18
2016-2017,2017-08,Sardinia,13.0,51.0,14888.0,3.43,16.0,6.44,18.0,5.29,14.0,2.37,3.0,0.97
2016-2017,2017-09,Piedmont,30.0,141.0,41481.0,3.4,21.0,13.97,22.0,4.89,79.0,3.19,19.0,1.77
2016-2017,2017-09,Aosta Valley,3.0,3.0,4371.0,0.69,0.0,0.0,0.0,0.0,3.0,0.98,0.0,0.0
2016-2017,2017-09,Lombardy,134.0,315.0,199618.0,1.58,35.0,2.89,80.0,2.93,176.0,4.61,24.0,0.51
2016-2017,2017-09,AP Bolzano,7.0,22.0,12117.0,1.82,8.0,24.02,5.0,3.84,9.0,1.17,0.0,0.0
2016-2017,2017-09,AP Trento,9.0,51.0,11440.0,4.46,10.0,9.6,8.0,3.69,30.0,5.21,3.0,1.22
2016-2017,2017-09,Veneto,91.0,275.0,120146.0,2.29,31.0,4.17,40.0,2.33,182.0,2.66,22.0,0.81
2016-2017,2017-09,Friuli-Venezia Giulia,17.0,52.0,22163.0,2.35,7.0,5.47,2.0,0.63,34.0,7.22,9.0,1.71
2016-2017,2017-09,Liguria,37.0,76.0,47330.0,1.61,5.0,2.57,8.0,2.29,52.0,4.41,11.0,0.78
2016-2017,2017-09,Emilia-Romagna,41.0,166.0,52790.0,3.14,34.0,9.06,35.0,3.65,77.0,2.79,20.0,1.69
2016-2017,2017-09,Tuscany,48.0,124.0,61299.0,2.02,14.0,5.66,23.0,4.03,61.0,4.99,26.0,1.6
2016-2017,2017-09,Umbria,8.0,20.0,8615.0,2.32,11.0,6.65,6.0,2.07,1.0,0.83,2.0,1.66
2016-2017,2017-09,Marche,4.0,9.0,5311.0,1.69,0.0,0.0,1.0,6.67,6.0,1.64,2.0,1.33
2016-2017,2017-09,Lazio,76.0,255.0,97972.0,2.6,42.0,9.35,65.0,5.72,133.0,2.18,15.0,0.71
2016-2017,2017-09,Abruzzo,37.0,69.0,39600.0,1.74,7.0,2.44,17.0,2.54,38.0,5.4,7.0,0.86
2016-2017,2017-09,Molise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-2017,2017-09,Campania,14.0,67.0,15877.0,4.22,18.0,6.46,29.0,5.6,18.0,2.87,2.0,1.22
2016-2017,2017-09,Apulia,96.0,111.0,126242.0,0.88,23.0,3.72,16.0,1.23,62.0,2.26,10.0,0.36
2016-2017,2017-09,Basilicata,3.0,10.0,3875.0,2.58,1.0,3.31,1.0,1.06,7.0,3.25,1.0,2.08
2016-2017,2017-09,Calabria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-2017,2017-09,Sicily,63.0,234.0,80090.0,2.92,17.0,9.28,24.0,4.81,157.0,9.11,36.0,1.81
2016-2017,2017-09,Sardinia,12.0,29.0,14086.0,2.06,5.0,3.43,5.0,2.52,12.0,1.72,7.0,1.91
2016-2017,2017-10,Piedmont,27.0,123.0,37305.0,3.3,22.0,18.17,23.0,5.94,69.0,3.06,9.0,0.93
2016-2017,2017-10,Aosta Valley,3.0,22.0,3947.0,5.57,8.0,19.32,12.0,16.33,2.0,1.04,0.0,0.0
2016-2017,2017-10,Lombardy,131.0,264.0,193741.0,1.36,42.0,3.25,75.0,2.68,122.0,3.16,25.0,0.56
2016-2017,2017-10,AP Bolzano,8.0,19.0,12891.0,1.47,4.0,12.01,5.0,3.67,10.0,1.22,0.0,0.0
2016-2017,2017-10,AP Trento,11.0,61.0,13166.0,4.63,13.0,8.75,8.0,2.35,36.0,6.18,4.0,1.64
2016-2017,2017-10,Veneto,92.0,198.0,121471.0,1.63,15.0,1.9,31.0,1.73,136.0,1.99,16.0,0.58
2016-2017,2017-10,Friuli-Venezia Giulia,14.0,34.0,17287.0,1.97,3.0,1.73,4.0,1.07,23.0,10.26,4.0,1.11
2016-2017,2017-10,Liguria,38.0,71.0,48152.0,1.47,9.0,3.53,7.0,1.78,46.0,5.42,9.0,0.66
2016-2017,2017-10,Emilia-Romagna,42.0,133.0,56643.0,2.35,18.0,5.71,17.0,1.96,92.0,2.96,6.0,0.44
2016-2017,2017-10,Tuscany,44.0,80.0,57888.0,1.38,8.0,3.23,12.0,2.09,47.0,3.78,13.0,0.86
2016-2017,2017-10,Umbria,8.0,17.0,8615.0,1.97,11.0,6.65,4.0,1.38,1.0,0.83,1.0,0.83
2016-2017,2017-10,Marche,7.0,12.0,8363.0,1.43,0.0,0.0,1.0,0.71,9.0,1.99,2.0,1.13
2016-2017,2017-10,Lazio,78.0,141.0,102594.0,1.37,20.0,6.28,22.0,2.44,87.0,1.3,12.0,0.51
2016-2017,2017-10,Abruzzo,34.0,64.0,36096.0,1.77,7.0,2.58,18.0,2.77,33.0,5.3,6.0,0.82
2016-2017,2017-10,Molise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-2017,2017-10,Campania,31.0,65.0,38482.0,1.69,9.0,2.5,15.0,2.23,36.0,1.58,5.0,0.93
2016-2017,2017-10,Apulia,96.0,102.0,125604.0,0.81,16.0,2.42,23.0,1.58,48.0,1.93,15.0,0.56
2016-2017,2017-10,Basilicata,4.0,23.0,4737.0,4.86,4.0,7.46,9.0,5.83,9.0,4.13,1.0,2.08
2016-2017,2017-10,Calabria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-2017,2017-10,Sicily,55.0,209.0,70138.0,2.98,10.0,6.38,20.0,4.69,141.0,9.29,38.0,2.12
2016-2017,2017-10,Sardinia,12.0,33.0,13799.0,2.39,8.0,4.83,6.0,3.23,16.0,2.37,3.0,0.85
2016-2017,2017-11,Piedmont,35.0,107.0,47445.0,2.26,20.0,16.5,15.0,3.68,63.0,2.13,9.0,0.72
2016-2017,2017-11,Aosta Valley,2.0,4.0,2830.0,1.41,0.0,0.0,0.0,0.0,4.0,2.08,0.0,0.0
2016-2017,2017-11,Lombardy,119.0,207.0,171236.0,1.21,60.0,5.02,38.0,1.43,95.0,3.08,14.0,0.35
2016-2017,2017-11,AP Bolzano,7.0,14.0,11327.0,1.24,5.0,15.02,3.0,2.3,6.0,0.85,0.0,0.0
2016-2017,2017-11,AP Trento,7.0,42.0,8784.0,4.78,1.0,1.69,2.0,1.34,36.0,7.63,3.0,1.51
2016-2017,2017-11,Veneto,83.0,146.0,108718.0,1.34,2.0,0.3,14.0,0.89,114.0,1.85,16.0,0.64
2016-2017,2017-11,Friuli-Venezia Giulia,17.0,41.0,21589.0,1.9,7.0,4.02,10.0,2.61,21.0,4.95,3.0,0.6
2016-2017,2017-11,Liguria,35.0,34.0,44915.0,0.76,3.0,1.54,3.0,0.86,22.0,2.3,6.0,0.46
2016-2017,2017-11,Emilia-Romagna,39.0,88.0,51244.0,1.72,23.0,7.41,16.0,1.89,46.0,1.66,3.0,0.25
2016-2017,2017-11,Tuscany,45.0,74.0,59486.0,1.24,5.0,2.02,12.0,2.09,38.0,3.83,19.0,1.23
2016-2017,2017-11,Umbria,5.0,12.0,5065.0,2.37,10.0,7.97,2.0,0.89,0.0,0.0,0.0,0.0
2016-2017,2017-11,Marche,7.0,22.0,9098.0,2.42,4.0,11.63,8.0,11.02,8.0,1.38,2.0,0.89
2016-2017,2017-11,Lazio,81.0,197.0,106256.0,1.85,32.0,8.05,29.0,2.82,129.0,1.89,7.0,0.29
2016-2017,2017-11,Abruzzo,33.0,61.0,35408.0,1.72,7.0,3.21,11.0,2.1,37.0,4.86,6.0,0.82
2016-2017,2017-11,Molise,10.0,31.0,11525.0,2.69,16.0,14.84,10.0,4.12,5.0,0.91,0.0,0.0
2016-2017,2017-11,Campania,20.0,56.0,25175.0,2.22,6.0,3.52,12.0,3.28,31.0,1.96,7.0,1.75
2016-2017,2017-11,Apulia,95.0,68.0,121474.0,0.56,10.0,1.3,12.0,0.74,37.0,1.42,9.0,0.37
2016-2017,2017-11,Basilicata,4.0,24.0,5067.0,4.74,0.0,0.0,1.0,3.69,18.0,5.09,5.0,4.25
2016-2017,2017-11,Calabria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-2017,2017-11,Sicily,58.0,166.0,73840.0,2.25,18.0,9.66,12.0,2.46,95.0,5.48,41.0,2.21
2016-2017,2017-11,Sardinia,9.0,6.0,10290.0,0.58,4.0,3.65,0.0,0.0,2.0,0.4,0.0,0.0
2016-2017,2017-12,Piedmont,35.0,84.0,47435.0,1.77,13.0,8.65,9.0,1.96,55.0,1.88,7.0,0.58
2016-2017,2017-12,Aosta Valley,3.0,0.0,4371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-2017,2017-12,Lombardy,130.0,180.0,191943.0,0.94,44.0,3.32,38.0,1.3,77.0,2.14,21.0,0.48
2016-2017,2017-12,AP Bolzano,7.0,9.0,11327.0,0.79,3.0,9.01,1.0,0.77,5.0,0.71,0.0,0.0
2016-2017,2017-12,AP Trento,10.0,26.0,12181.0,2.13,9.0,8.05,6.0,2.16,8.0,1.37,3.0,1.22
2016-2017,2017-12,Veneto,91.0,122.0,120062.0,1.02,2.0,0.27,12.0,0.7,92.0,1.35,16.0,0.59
2016-2017,2017-12,Friuli-Venezia Giulia,18.0,32.0,23085.0,1.39,0.0,0.0,3.0,0.78,23.0,6.87,6.0,1.09
2016-2017,2017-12,Liguria,33.0,42.0,41408.0,1.01,1.0,0.51,2.0,0.57,33.0,4.2,6.0,0.51
2016-2017,2017-12,Emilia-Romagna,36.0,63.0,47697.0,1.32,19.0,6.73,14.0,1.85,26.0,1.0,4.0,0.35
2016-2017,2017-12,Tuscany,43.0,56.0,56170.0,1.0,4.0,1.62,10.0,1.78,33.0,2.79,9.0,0.62
2016-2017,2017-12,Umbria,9.0,11.0,10646.0,1.03,5.0,3.02,3.0,1.01,3.0,1.7,0.0,0.0
2016-2017,2017-12,Marche,6.0,11.0,7468.0,1.47,0.0,0.0,0.0,0.0,11.0,2.9,0.0,0.0
2016-2017,2017-12,Lazio,85.0,151.0,110489.0,1.37,26.0,6.09,18.0,1.65,98.0,1.39,9.0,0.36
2016-2017,2017-12,Abruzzo,35.0,51.0,36413.0,1.4,11.0,4.13,10.0,1.55,22.0,3.16,8.0,1.08
2016-2017,2017-12,Molise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-2017,2017-12,Campania,35.0,117.0,41509.0,2.82,35.0,6.86,45.0,4.39,29.0,1.42,8.0,1.41
2016-2017,2017-12,Apulia,96.0,74.0,125475.0,0.59,16.0,2.31,12.0,0.76,36.0,1.38,10.0,0.38
2016-2017,2017-12,Basilicata,4.0,21.0,5509.0,3.81,0.0,0.0,2.0,9.52,13.0,3.24,6.0,4.89
2016-2017,2017-12,Calabria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-2017,2017-12,Sicily,52.0,138.0,64668.0,2.13,12.0,9.64,8.0,2.17,89.0,5.78,29.0,1.81
2016-2017,2017-12,Sardinia,13.0,29.0,15466.0,1.88,9.0,3.71,2.0,0.61,17.0,2.63,1.0,0.3
2016-2017,2017-13,Piedmont,29.0,91.0,39887.0,2.28,24.0,17.96,22.0,5.54,40.0,1.66,5.0,0.48
2016-2017,2017-13,Aosta Valley,2.0,1.0,2830.0,0.35,0.0,0.0,0.0,0.0,1.0,0.52,0.0,0.0
2016-2017,2017-13,Lombardy,116.0,101.0,175484.0,0.58,13.0,1.31,8.0,0.36,72.0,2.06,8.0,0.19
2016-2017,2017-13,AP Bolzano,7.0,1.0,11327.0,0.09,0.0,0.0,0.0,0.0,1.0,0.14,0.0,0.0
2016-2017,2017-13,AP Trento,10.0,48.0,12368.0,3.88,6.0,4.48,6.0,2.17,33.0,5.67,3.0,1.23
2016-2017,2017-13,Veneto,81.0,83.0,108408.0,0.77,3.0,0.47,8.0,0.56,65.0,1.04,7.0,0.28
2016-2017,2017-13,Friuli-Venezia Giulia,13.0,13.0,16830.0,0.77,2.0,1.5,2.0,0.62,7.0,3.11,2.0,0.56
2016-2017,2017-13,Liguria,36.0,27.0,45882.0,0.59,0.0,0.0,3.0,0.76,17.0,1.83,7.0,0.54
2016-2017,2017-13,Emilia-Romagna,37.0,54.0,48436.0,1.11,12.0,3.75,17.0,2.06,23.0,0.89,2.0,0.18
2016-2017,2017-13,Tuscany,46.0,41.0,60958.0,0.67,6.0,2.7,7.0,1.34,23.0,1.39,5.0,0.31
2016-2017,2017-13,Umbria,7.0,3.0,7388.0,0.41,2.0,1.21,1.0,0.35,0.0,0.0,0.0,0.0
2016-2017,2017-13,Marche,3.0,5.0,3357.0,1.49,0.0,0.0,2.0,2.36,3.0,1.81,0.0,0.0
2016-2017,2017-13,Lazio,73.0,89.0,94225.0,0.94,10.0,2.71,8.0,0.85,66.0,1.1,5.0,0.24
2016-2017,2017-13,Abruzzo,37.0,47.0,41067.0,1.14,8.0,3.68,9.0,1.65,25.0,3.11,5.0,0.56
2016-2017,2017-13,Molise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-2017,2017-13,Campania,33.0,56.0,40580.0,1.38,8.0,2.22,13.0,1.9,31.0,1.27,4.0,0.7
2016-2017,2017-13,Apulia,87.0,50.0,113162.0,0.44,5.0,0.86,4.0,0.33,36.0,1.4,5.0,0.2
2016-2017,2017-13,Basilicata,1.0,4.0,1510.0,2.65,0.0,0.0,0.0,0.0,4.0,3.25,0.0,0.0
2016-2017,2017-13,Calabria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-2017,2017-13,Sicily,50.0,156.0,63377.0,2.46,14.0,8.78,26.0,6.36,87.0,6.34,29.0,1.83
2016-2017,2017-13,Sardinia,13.0,20.0,14753.0,1.36,8.0,3.3,5.0,1.53,4.0,0.68,3.0,0.93
2016-2017,2017-14,Piedmont,34.0,66.0,46896.0,1.41,10.0,6.57,9.0,2.12,40.0,1.39,7.0,0.56
2016-2017,2017-14,Aosta Valley,2.0,1.0,3041.0,0.33,0.0,0.0,0.0,0.0,1.0,0.46,0.0,0.0
2016-2017,2017-14,Lombardy,115.0,127.0,172970.0,0.73,28.0,2.55,26.0,1.1,59.0,1.82,14.0,0.34
2016-2017,2017-14,AP Bolzano,7.0,7.0,11327.0,0.62,0.0,0.0,0.0,0.0,7.0,0.99,0.0,0.0
2016-2017,2017-14,AP Trento,10.0,34.0,11585.0,2.93,12.0,8.08,7.0,2.06,13.0,2.75,2.0,1.01
2016-2017,2017-14,Veneto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-2017,2017-14,Friuli-Venezia Giulia,13.0,11.0,16758.0,0.66,0.0,0.0,2.0,0.89,6.0,2.52,3.0,0.72
2016-2017,2017-14,Liguria,35.0,25.0,44470.0,0.56,0.0,0.0,1.0,0.29,22.0,3.26,2.0,0.15
2016-2017,2017-14,Emilia-Romagna,34.0,53.0,45818.0,1.16,6.0,2.67,8.0,1.21,34.0,1.31,5.0,0.45
2016-2017,2017-14,Tuscany,43.0,34.0,57608.0,0.59,1.0,0.45,8.0,1.53,19.0,1.6,6.0,0.4
2016-2017,2017-14,Umbria,6.0,5.0,6567.0,0.76,3.0,2.39,0.0,0.0,2.0,2.23,0.0,0.0
2016-2017,2017-14,Marche,4.0,7.0,5057.0,1.38,1.0,3.4,3.0,3.09,2.0,0.72,1.0,1.0
2016-2017,2017-14,Lazio,87.0,69.0,114338.0,0.6,7.0,1.74,15.0,1.43,44.0,0.6,3.0,0.11
2016-2017,2017-14,Abruzzo,34.0,33.0,36801.0,0.9,6.0,2.39,6.0,1.01,20.0,2.51,1.0,0.13
2016-2017,2017-14,Molise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-2017,2017-14,Campania,43.0,110.0,50912.0,2.16,23.0,4.16,30.0,2.82,49.0,1.79,8.0,1.09
2016-2017,2017-14,Apulia,86.0,59.0,110018.0,0.54,6.0,0.92,10.0,0.73,34.0,1.55,9.0,0.4
2016-2017,2017-14,Basilicata,1.0,5.0,1510.0,3.31,0.0,0.0,0.0,0.0,5.0,4.06,0.0,0.0
2016-2017,2017-14,Calabria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-2017,2017-14,Sicily,57.0,131.0,73715.0,1.78,2.0,1.62,16.0,4.2,86.0,5.16,27.0,1.43
2016-2017,2017-14,Sardinia,9.0,12.0,9655.0,1.24,4.0,2.12,5.0,1.83,2.0,0.61,1.0,0.56
2016-2017,2017-15,Piedmont,24.0,49.0,32907.0,1.49,13.0,16.48,10.0,4.55,20.0,0.96,6.0,0.66
2016-2017,2017-15,Aosta Valley,2.0,0.0,2830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-2017,2017-15,Lombardy,110.0,108.0,163235.0,0.66,27.0,2.89,27.0,1.24,48.0,1.59,6.0,0.15
2016-2017,2017-15,AP Bolzano,6.0,6.0,10222.0,0.59,0.0,0.0,0.0,0.0,4.0,0.57,2.0,0.77
2016-2017,2017-15,AP Trento,10.0,22.0,12948.0,1.7,3.0,3.08,7.0,3.26,12.0,1.73,0.0,0.0
2016-2017,2017-15,Veneto,77.0,39.0,100542.0,0.39,2.0,0.34,3.0,0.22,29.0,0.5,5.0,0.22
2016-2017,2017-15,Friuli-Venezia Giulia,9.0,9.0,11979.0,0.75,1.0,3.75,2.0,1.95,5.0,2.08,1.0,0.32
2016-2017,2017-15,Liguria,32.0,16.0,41373.0,0.39,1.0,0.51,0.0,0.0,11.0,1.08,4.0,0.34
2016-2017,2017-15,Emilia-Romagna,21.0,14.0,27247.0,0.51,3.0,1.59,3.0,0.65,8.0,0.55,0.0,0.0
2016-2017,2017-15,Tuscany,44.0,35.0,58644.0,0.6,0.0,0.0,4.0,0.88,24.0,1.65,7.0,0.44
2016-2017,2017-15,Umbria,6.0,2.0,6567.0,0.3,1.0,0.8,0.0,0.0,1.0,1.12,0.0,0.0
2016-2017,2017-15,Marche,4.0,13.0,5057.0,2.57,2.0,6.8,3.0,3.09,8.0,2.86,0.0,0.0
2016-2017,2017-15,Lazio,83.0,29.0,109495.0,0.26,1.0,0.26,7.0,0.72,19.0,0.27,2.0,0.08
2016-2017,2017-15,Abruzzo,30.0,28.0,31456.0,0.89,8.0,3.18,8.0,1.37,10.0,1.6,2.0,0.33
2016-2017,2017-15,Molise,7.0,19.0,8469.0,2.24,3.0,6.79,5.0,2.91,8.0,1.91,3.0,1.41
2016-2017,2017-15,Campania,8.0,24.0,9629.0,2.49,2.0,3.38,3.0,1.61,16.0,2.79,3.0,2.07
2016-2017,2017-15,Apulia,74.0,62.0,94057.0,0.66,14.0,2.29,7.0,0.58,37.0,2.02,4.0,0.21
2016-2017,2017-15,Basilicata,1.0,0.0,1510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-2017,2017-15,Calabria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-2017,2017-15,Sicily,49.0,75.0,61509.0,1.22,0.0,0.0,3.0,1.05,51.0,3.39,21.0,1.3
2016-2017,2017-15,Sardinia,9.0,11.0,10627.0,1.04,4.0,3.45,4.0,2.69,3.0,0.58,0.0,0.0
2016-2017,2017-16,Piedmont,14.0,38.0,19495.0,1.95,14.0,17.74,8.0,4.22,15.0,1.26,1.0,0.2
2016-2017,2017-16,Aosta Valley,2.0,0.0,2830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-2017,2017-16,Lombardy,103.0,69.0,157120.0,0.44,15.0,1.77,11.0,0.57,35.0,1.11,8.0,0.21
2016-2017,2017-16,AP Bolzano,7.0,4.0,11933.0,0.34,0.0,0.0,1.0,1.55,2.0,0.24,1.0,0.33
2016-2017,2017-16,AP Trento,6.0,9.0,7525.0,1.2,3.0,2.88,0.0,0.0,5.0,1.65,1.0,0.74
2016-2017,2017-16,Veneto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-2017,2017-16,Friuli-Venezia Giulia,12.0,5.0,15892.0,0.31,0.0,0.0,0.0,0.0,4.0,1.26,1.0,0.27
2016-2017,2017-16,Liguria,33.0,38.0,41840.0,0.91,6.0,2.64,5.0,1.28,18.0,2.02,9.0,0.78
2016-2017,2017-16,Emilia-Romagna,14.0,17.0,19984.0,0.85,2.0,3.74,3.0,2.04,11.0,0.89,1.0,0.18
2016-2017,2017-16,Tuscany,38.0,13.0,49893.0,0.26,0.0,0.0,1.0,0.23,7.0,0.53,5.0,0.38
2016-2017,2017-16,Umbria,5.0,0.0,5722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-2017,2017-16,Marche,7.0,3.0,9205.0,0.33,1.0,3.4,0.0,0.0,1.0,0.17,1.0,0.45
2016-2017,2017-16,Lazio,73.0,37.0,95240.0,0.39,4.0,1.01,11.0,1.11,21.0,0.35,1.0,0.05
2016-2017,2017-16,Abruzzo,24.0,24.0,26390.0,0.91,5.0,2.25,4.0,0.8,12.0,1.93,3.0,0.63
2016-2017,2017-16,Molise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-2017,2017-16,Campania,21.0,40.0,26987.0,1.48,7.0,4.08,8.0,2.34,24.0,1.35,1.0,0.25
2016-2017,2017-16,Apulia,77.0,41.0,99857.0,0.41,3.0,0.58,5.0,0.49,24.0,1.14,9.0,0.43
2016-2017,2017-16,Basilicata,1.0,2.0,1510.0,1.32,0.0,0.0,0.0,0.0,2.0,1.62,0.0,0.0
2016-2017,2017-16,Calabria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-2017,2017-16,Sicily,46.0,74.0,60257.0,1.23,0.0,0.0,5.0,2.15,52.0,3.93,17.0,1.07
2016-2017,2017-16,Sardinia,9.0,7.0,10541.0,0.66,5.0,4.22,2.0,1.23,0.0,0.0,0.0,0.0
2016-2017,2017-17,Piedmont,19.0,40.0,26278.0,1.52,7.0,8.87,6.0,3.0,19.0,1.16,8.0,1.13
2016-2017,2017-17,Aosta Valley,1.0,0.0,1330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-2017,2017-17,Lombardy,109.0,69.0,160288.0,0.43,16.0,1.56,15.0,0.65,32.0,1.18,6.0,0.16
2016-2017,2017-17,AP Bolzano,6.0,13.0,9345.0,1.39,5.0,15.02,1.0,0.77,7.0,1.23,0.0,0.0
2016-2017,2017-17,AP Trento,7.0,5.0,8804.0,0.57,1.0,1.69,2.0,1.33,2.0,0.42,0.0,0.0
2016-2017,2017-17,Veneto,54.0,24.0,70081.0,0.34,0.0,0.0,1.0,0.09,21.0,0.54,2.0,0.13
2016-2017,2017-17,Friuli-Venezia Giulia,11.0,20.0,13797.0,1.45,0.0,0.0,0.0,0.0,14.0,5.05,6.0,1.86
